"","RR.HR","DET.HR","NRLINE.HR","maxL.HR","L.HR","ENTR.HR","rENTR.HR","LAM.HR","TT.HR","RR.Resp","DET.Resp","NRLINE.Resp","maxL.Resp","L.Resp","ENTR.Resp","rENTR.Resp","LAM.Resp","TT.Resp","condition","group","type"
"50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conversation","G4","Surrogate"
"51",0.0593471061505928,81.1547998583068,713,11,3.21318373071529,1.33341341846807,0.579094089736436,87.778958554729,3.55014326647564,3.50670624025219,84.9595024440809,54782,25,3.05213391259903,1.40138710960757,0.460297842526485,90.2353634617534,3.37152566828676,"TurnTaking","G1","Surrogate"
"52",0.469857535411176,76.9038031319911,5926,10,2.90043874451569,1.29850366796851,0.590974487251885,80.4474272930649,3.05626381098079,5.02884717669361,91.0784581205909,54980,46,4.67530010913059,2.12432309891638,0.561368035014881,94.2631286163266,6.34083325388502,"Synchronous","G1","Surrogate"
"53",0.0116045351027727,49.0942028985507,128,4,2.1171875,0.373350851701082,0.339838590512864,56.5217391304348,2.496,3.91565744461002,83.5123980104936,55230,58,3.32284990041644,1.562328020199,0.435975935115918,91.717064158396,3.87821820280931,"Conversation","G1","Surrogate"
"54",0.025479522725653,73.8448844884488,413,4,2.16707021791768,0.468897899812774,0.426809261692527,84.1584158415842,2.23194748358862,3.61481076540748,82.0455564921205,48491,32,3.43249262749789,1.612516761493,0.48391890610826,89.973332544647,4.24661486203527,"TurnTaking","G5","Surrogate"
"55",14.2517566049671,98.8025171037376,37223,349,17.9943583268409,2.41580674772136,0.414869947976079,99.8704865751517,79.362794514125,3.61087288835798,80.1350124353559,40599,51,3.9999014754058,1.87609457811237,0.532020071406788,88.4889068730015,5.39165338705313,"Synchronous","G5","Surrogate"
"56",0.549386441740504,76.9180729346038,5792,13,3.47047651933702,1.61470419811478,0.649804771641036,85.944973787931,5.74571501662829,4.35844588207644,82.6482095477161,58815,24,3.43721839666752,1.63774623874405,0.522324752003644,88.5725031990613,4.15485961951519,"Conversation","G5","Surrogate"
"57",0.0288431560887755,69.3877551020408,303,9,3.14191419141914,1.45197849761946,0.698254059331,90.2332361516035,4.26896551724138,3.47698506867497,84.3481914991749,48946,29,3.36272626976668,1.59646826267379,0.502341479376075,92.6194307501512,4.04847453071099,"TurnTaking","G6","Surrogate"
"58",0.0303567911021807,62.8116343490305,362,7,2.50552486187845,0.954347042376722,0.532631225768202,89.819944598338,4.15705128205128,3.1322871884823,83.1132778501499,38335,36,3.81124298943524,1.7934946252772,0.544169720223904,91.0455147933033,4.36645386588094,"Synchronous","G6","Surrogate"
"59",0.202448683042936,88.1723779854621,2208,12,3.8455615942029,1.72717322040683,0.720287178510177,97.3520249221184,11.2680288461538,3.7039030063464,84.3136783262536,52799,22,3.31941892838879,1.57680400874778,0.526350109009286,91.6394459972386,3.87111851731426,"Conversation","G6","Surrogate"
"60",0.0285305746039397,78.4796573875803,225,15,3.25777777777778,1.51083314063138,0.63006635768051,86.0813704496788,3.94117647058824,3.18893563271995,80.4533021936252,32964,20,3.11418517170246,1.44677817048044,0.500550895063242,93.5406004843374,3.85638126009693,"TurnTaking","G7","Surrogate"
"61",0.4001394971077,90.7692307692308,2650,54,4.72,2.12944808848895,0.670047834984535,94.4992743105951,5.81079875055779,3.29071292728205,77.4569872958258,34002,19,3.13796247279572,1.46590747144114,0.507169178994517,90.0885662431942,4.20027077339651,"Synchronous","G7","Surrogate"
"62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conversation","G7","Surrogate"
"63",0.0998999108847386,77.6304713804714,1143,10,3.22747156605424,1.49169405718589,0.678899222488365,81.2920875420875,3.3017094017094,4.0058187924402,79.4744965816034,55681,25,3.20879653741851,1.4870559937,0.474265264514078,90.2158682994311,4.19754542820481,"TurnTaking","G8","Surrogate"
"64",9.72064814692182,97.6283986608649,40277,278,11.2079350497803,2.84905486325426,0.549821279797313,99.0652871614315,23.4484770923983,3.65028729574936,81.4624621692863,44891,28,3.71753803657749,1.77352881899441,0.550977706344737,88.3173874841355,5.32608183691493,"Synchronous","G8","Surrogate"
"65",1.0689206373833,85.3066121228808,8723,56,4.97248652986358,2.01442440609294,0.502684531826888,87.35397081383,5.9158231220032,4.87140336850636,76.4293630734004,66982,28,3.11950971902899,1.4418789039168,0.447944867204014,88.835770014375,4.20559663370794,"Conversation","G8","Surrogate"
"66",0.358458202966262,95.3902996891678,2078,60,7.82723772858518,2.75972453973016,0.69509361019782,97.0558911500792,13.1237113402062,4.24105794541532,79.5437262357414,56895,24,3.32763863256877,1.55307613415187,0.510121428210986,94.5411003508182,4.81691105640587,"TurnTaking","G9","Surrogate"
"67",0.375738869369304,92.7824092206121,2334,71,7.10497000856898,2.57038613202733,0.671357242907211,94.7574553796229,11.0620509470934,3.80796274376305,68.0008797009017,45392,21,3.20153330983433,1.51176776694137,0.52303575234272,80.2385486806826,3.81755643617258,"Synchronous","G9","Surrogate"
"68",0.258957723543394,91.3054067218704,1736,83,6.4786866359447,2.29915569324894,0.597160402948644,96.2981003409644,12.3433922996878,3.3733886109112,71.9607014578491,47082,19,2.89358990697082,1.29218071191551,0.456083095410506,87.6103950982464,3.82245575221239,"Conversation","G9","Surrogate"
